algorithm,burn_in,mode_k,mode_k_probability,mean_acceptance_probability,move_rate,model_switch_rate,setup_seconds,within_model_calibration_seconds,td_calibration_seconds,rjmcmc_sampling_seconds,run_total_seconds,smc_total_recorded_generation_seconds,run_total_plus_smc_seconds,p_k_0,p_k_1,p_k_2,p_k_3,p_k_4,p_k_5,p_k_6,p_k_7,p_k_8,p_k_9,p_k_10
vinf_ctp,10000,3,0.299922,0.059443,0.058923,0.022967,0.397092,0.009850,0.151468,1128.306533,1128.703625,0.000000,1128.703625,0.000000,0.065178,0.252556,0.299922,0.229089,0.089600,0.053556,0.007844,0.001256,0.000944,0.000056
smc_cnf_ctp,10000,2,0.328567,0.083832,0.083745,0.014678,553.609465,0.170295,0.077238,4146.751179,4700.360643,549.270091,5249.630734,0.000000,0.009100,0.328567,0.256656,0.213411,0.115156,0.052400,0.021333,0.002178,0.000756,0.000444
