algorithm,n_runs,n_fresh_runs,mean_runtime_seconds,median_runtime_seconds,max_runtime_seconds,mean_model2_probability,mean_accepted_move_rate,mean_ess_model2_indicator
ToyModelAF,3,3,37.174715366680175,35.28608530003112,41.692226300016046,0.7423000000000001,0.7531419808647531,172.79040547776796
ToyModelNF,2,2,84.36555789998965,84.36555789998965,85.81527899997309,0.7518,0.7087708770877088,952.304802340378
ToyModelPerfect,2,2,35.21077304999926,35.21077304999926,36.8521749000065,0.7494000000000001,0.6382638263826382,4837.407923306995
ToyModelVINF,2,2,232.74676495001768,232.74676495001768,418.5917107000132,0.748,0.7208720872087209,1157.6565657286249
