algorithm,n_runs,n_fresh_runs,mean_runtime_seconds,median_runtime_seconds,max_runtime_seconds,mean_posterior_sample_generation_seconds,mean_td_proposal_fit_or_train_seconds,mean_rjmcmc_sampling_seconds,mean_model2_probability,mean_accepted_move_rate,mean_ess_model2_indicator
ToyModelAF,10,10,37.594874760013774,37.22902204998536,40.89450890000444,0.00501163000590168,0.037311029992997645,37.55255210001487,0.7424,0.7247124712471248,234.6216262645096
ToyModelNF,10,10,87.10005609999644,87.41860964999069,91.46774270001333,0.004429830017033965,26.989237249986036,60.106389019993365,0.75258,0.7072907290729072,1063.440303057114
ToyModelPerfect,10,10,34.31566440000897,33.659580249979626,36.91960999998264,,0.0010132899915333837,34.31465111001744,0.7502600000000001,0.6360636063606362,4923.286401885394
ToyModelVINF,10,10,106.39970383998589,46.81758384994464,636.7316118000308,,59.13959933998994,47.26010449999594,0.74006,0.7206020602060207,955.2574071863831
